ASX listed companies as at Thu May 17 19:45:06 AEST 2018

Company name,ASX code,GICS industry group
"HEALTHSCOPE LIMITED.","HSO","Health Care Equipment & Services"
"HEARMEOUT LIMITED","HMO","Software & Services"
"HELIOS ENERGY LTD","HE8","Energy"
"HELIX RESOURCES LIMITED","HLX","Materials"
"HELLOWORLD TRAVEL LIMITED","HLO","Consumer Services"
"HENRY MORGAN LIMITED","HML","Not Applic"
"HERON RESOURCES LIMITED","HRR","Materials"
"HEXAGON RESOURCES LIMITED","HXG","Materials"
"HGL LIMITED","HNG","Capital Goods"
"HHY FUND","HHY","Not Applic"
"HIGH GRADE METALS LIMITED","HGM","Materials"
"HIGH PEAK ROYALTIES LIMITED","HPR","Utilities"
"HIGHFIELD RESOURCES LIMITED","HFR","Materials"
"HIGHLANDS PACIFIC LIMITED","HIG","Materials"
"HILL END GOLD LIMITED","HEG","Materials"
"HILLGROVE RESOURCES LIMITED","HGO","Materials"
"HILLS LIMITED","HIL","Technology Hardware & Equipment"
"HITECH GROUP AUSTRALIA LIMITED","HIT","Commercial & Professional Services"
"HOLISTA COLLTECH LIMITED","HCT","Household & Personal Products"
"HOMELOANS LIMITED","HOM","Banks"
"HORIZON GOLD LIMITED","HRN","Materials"
"HORIZON OIL LIMITED","HZN","Energy"
"HORSESHOE METALS LIMITED","HOR","Materials"
"HOT CHILI LIMITED","HCH","Materials"
"HOTCOPPER HOLDINGS LIMITED","HOT","Software & Services"
"HOTEL PROPERTY INVESTMENTS","HPI","Real Estate"
"HRL HOLDINGS LTD","HRL","Commercial & Professional Services"
"HT&E LIMITED","HT1","Media"
"HUB24 LIMITED","HUB","Diversified Financials"
"HUDSON INVESTMENT GROUP LIMITED","HGL","Real Estate"
"HUGHES DRILLING LIMITED","HDX","Materials"
"HUON AQUACULTURE GROUP LIMITED","HUO","Food, Beverage & Tobacco"
"HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","HTA","Telecommunication Services"
"HYLEA METALS LIMITED","HCO","Materials"
"HYUNDAI CAPITAL SERVICES, INC.","HCS","Not Applic"
"I SYNERGY GROUP LIMITED","IS3","Media"
"IAG FINANCE (NEW ZEALAND) LIMITED","IAN","Not Applic"
"IBOSSES CORPORATION LIMITED","IB8","Consumer Services"
"IBUYNEW GROUP LIMITED","IBN","Software & Services"
"ICANDY INTERACTIVE LIMITED","ICI","Software & Services"
"ICAR ASIA LIMITED","ICQ","Media"
"ICOLLEGE LIMITED","ICT","Consumer Services"
"ICON ENERGY LIMITED","ICN","Energy"
"ICSGLOBAL LIMITED","ICS","Health Care Equipment & Services"
"IDOL 2010-1 TRUST","IDF","Not Applic"
"IDOL 2011-1 TRUST","IDH","Not Applic"
"IDOL 2011-2 TRUST","IDJ","Not Applic"
"IDP EDUCATION LIMITED","IEL","Consumer Services"
"IDT AUSTRALIA LIMITED","IDT","Pharmaceuticals, Biotechnology & Life Sciences"
"IKEGPS GROUP LIMITED","IKE","Technology Hardware & Equipment"
"IKWEZI MINING LIMITED","IKW","Energy"
"ILUKA RESOURCES LIMITED","ILU","Materials"
"IMAGE RESOURCES NL","IMA","Materials"
"IMAGION BIOSYSTEMS LIMITED","IBX","Health Care Equipment & Services"
"IMDEX LIMITED","IMD","Materials"
"IMF BENTHAM LIMITED","IMF","Diversified Financials"
"IMMURON LIMITED","IMC","Pharmaceuticals, Biotechnology & Life Sciences"
"IMMUTEP LIMITED","IMM","Pharmaceuticals, Biotechnology & Life Sciences"
"IMPACT MINERALS LIMITED","IPT","Materials"
"IMPEDIMED LIMITED","IPD","Health Care Equipment & Services"
"IMPELUS LIMITED","IMS","Software & Services"
"IMPERIAL PACIFIC LIMITED","IPC","Diversified Financials"
"IMPRESSION HEALTHCARE LIMITED","IHL","Health Care Equipment & Services"
"IMUGENE LIMITED","IMU","Pharmaceuticals, Biotechnology & Life Sciences"
"INABOX GROUP LIMITED","IAB","Telecommunication Services"
"INCA MINERALS LIMITED","ICG","Materials"
"INCENTIAPAY LIMITED","INP","Software & Services"
"INCITEC PIVOT LIMITED","IPL","Materials"
"INDAGO ENERGY LIMITED","INK","Energy"
"INDEPENDENCE GROUP NL","IGO","Materials"
"INDIA RESOURCES LIMITED","IRL","Materials"
"INDIANA RESOURCES LIMITED","IDA","Materials"
"INDO MINES LIMITED","IDO","Materials"
"INDOOR SKYDIVE AUSTRALIA GROUP LIMITED","IDZ","Consumer Services"
"INDUS ENERGY NL","IND","Energy"
"INDUSTRIA REIT","IDR","Real Estate"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED","ICB","Not Applic"
"INFIGEN ENERGY","IFN","Utilities"
"INFINITY LITHIUM CORPORATION LIMITED","INF","Materials"
"INFOMEDIA LTD","IFM","Software & Services"
"INFRATIL LIMITED.","IFT","Utilities"
"INGENIA COMMUNITIES GROUP","INA","Real Estate"
"INGHAMS GROUP LIMITED","ING","Food, Beverage & Tobacco"
"INNATE IMMUNOTHERAPEUTICS LIMITED","IIL","Pharmaceuticals, Biotechnology & Life Sciences"
"INSURANCE AUSTRALIA GROUP LIMITED","IAG","Insurance"
"INTEGRAL DIAGNOSTICS LIMITED","IDX","Health Care Equipment & Services"
"INTEGRATED GREEN ENERGY SOLUTIONS LTD","IGE","Commercial & Professional Services"
"INTEGRATED MEDIA TECHNOLOGY LIMITED","ITL","Media"
"INTEGRATED PAYMENT TECHNOLOGIES LIMITED","IP1","Software & Services"
"INTEGRATED RESEARCH LIMITED","IRI","Software & Services"
"INTELLIHR HOLDINGS LIMITED","IHR","Software & Services"
"INTERMIN RESOURCES LIMITED","IRC","Materials"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.","IEQ","Real Estate"
"INTERNATIONAL FINANCE CORPORATION","IFX","Not Applic"
"INTERNATIONAL GOLDFIELDS LIMITED...","IGS","Materials"
"INTERPOSE HOLDINGS LIMITED","IHS","Energy"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST","IMG","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST","IMX","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-1E TRUST","IMQ","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-2G TRUST","IMK","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-5 TRUST","IMN","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2005-2L TRUST","IMO","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-2G TRUST","INB","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-3L TRUST","INN","Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-4H TRUST","INH","Not Applic"
"INTIGER GROUP LIMITED","IAM","Software & Services"
"INTRA ENERGY CORPORATION LIMITED","IEC","Energy"
"INTREPID MINES LIMITED","IAU","Materials"
"INVENTIS LIMITED","IVT","Commercial & Professional Services"
"INVESTA OFFICE FUND","IOF","Real Estate"
"INVESTIGATOR RESOURCES LTD","IVR","Materials"
"INVESTSMART GROUP LIMITED","INV","Diversified Financials"
"INVIGOR GROUP LIMITED","IVO","Media"
"INVION LIMITED","IVX","Pharmaceuticals, Biotechnology & Life Sciences"
"INVITROCUE LIMITED","IVQ","Pharmaceuticals, Biotechnology & Life Sciences"
"INVOCARE LIMITED","IVC","Consumer Services"
"IODM LIMITED","IOD","Class Pend"
"IOOF HOLDINGS LIMITED","IFL","Diversified Financials"
"IOT GROUP LIMITED","IOT","Consumer Durables & Apparel"
"IPB PETROLEUM LIMITED","IPB","Energy"
"IPE LIMITED","IPE","Diversified Financials"
"IPH LIMITED","IPH","Commercial & Professional Services"
"IQ3CORP LIMITED","IQ3","Diversified Financials"
"IRESS LIMITED","IRE","Software & Services"
"IRON MOUNTAIN INCORPORATED","INM","Real Estate"
"IRON ROAD LIMITED","IRD","Materials"
"IRONBARK CAPITAL LIMITED","IBC","Diversified Financials"
"IRONBARK ZINC LTD","IBG","Materials"
"ISELECT LIMITED.","ISU","Consumer Services"
"ISENTIA GROUP LIMITED","ISD","Software & Services"
"ISENTRIC LIMITED.","ICU","Software & Services"
"ISHARES S&P SMALL-CAP ETF","IJR","Not Applic"
"ISIGNTHIS LTD","ISX","Software & Services"
"ITL HEALTH GROUP LIMITED","ITD","Health Care Equipment & Services"
"IVE GROUP LIMITED","IGL","Media"
"IXUP LIMITED","IXU","Software & Services"
"JACK-IN GROUP LIMITED","JIP","Capital Goods"
"JACKA RESOURCES LIMITED","JKA","Energy"
"JADAR LITHIUM LIMITED","JDR","Materials"
"JAMES HARDIE INDUSTRIES PLC","JHX","Materials"
"JAMESON RESOURCES LIMITED","JAL","Materials"
"JANISON EDUCATION GROUP LIMITED","JAN","Software & Services"
"JANUS HENDERSON GROUP PLC","JHG","Diversified Financials"
"JAPARA HEALTHCARE LIMITED","JHC","Health Care Equipment & Services"
"JATENERGY LIMITED","JAT","Retailing"
"JAYEX HEALTHCARE LIMITED","JHL","Health Care Equipment & Services"
"JAYRIDE GROUP LIMITED","JAY","Retailing"
"JB HI-FI LIMITED","JBH","Retailing"
"JC INTERNATIONAL GROUP LIMITED","JCI","Capital Goods"
"JCURVE SOLUTIONS LTD","JCS","Software & Services"
"JERVOIS MINING LIMITED","JRV","Materials"
"JIAJIAFU MODERN AGRICULTURE LIMITED","JJF","Food, Beverage & Tobacco"
"JINDALEE RESOURCES LIMITED","JRL","Materials"
"JOHNS LYNG GROUP LIMITED","JLG","Capital Goods"
"JOYCE CORPORATION LTD","JYC","Retailing"
"JUMBO INTERACTIVE LIMITED","JIN","Consumer Services"
"JUPITER ENERGY LIMITED","JPR","Energy"
"JUPITER MINES LIMITED.","JMS","Materials"
"JUSTKAPITAL LIMITED","JKL","Diversified Financials"
"JV GLOBAL LIMITED","JVG","Capital Goods"
"JYG AUSTRALIA LTD","JYG","Class Pend"
"K & S CORPORATION LIMITED","KSC","Transportation"
"K2 ASSET MANAGEMENT HOLDINGS LTD","KAM","Diversified Financials"
"K2 ENERGY LIMITED.","KTE","Semiconductors & Semiconductor Equipment"
"K2FLY LIMITED","K2F","Software & Services"
"KAILI RESOURCES LIMITED","KLR","Energy"
"KAIRIKI ENERGY LIMITED","KIK","Energy"
"KAIROS MINERALS LIMITED","KAI","Materials"
"KALAMAZOO RESOURCES LIMITED","KZR","Materials"
"KALIA LIMITED","KLH","Energy"
"KALINA POWER LIMITED","KPO","Utilities"
"KALIUM LAKES LIMITED","KLL","Materials"
"KALNORTH GOLD MINES LIMITED","KGM","Materials"
"KANGAROO ISLAND PLANTATION TIMBERS LTD","KPT","Materials"
"KANGAROO RESOURCES LIMITED","KRL","Materials"
"KAROON GAS AUSTRALIA LIMITED","KAR","Energy"
"KASBAH RESOURCES LIMITED","KAS","Materials"
"KATANA CAPITAL LIMITED","KAT","Not Applic"
"KATHMANDU HOLDINGS LIMITED","KMD","Retailing"
"KAZAKHSTAN POTASH CORPORATION LIMITED","KPC","Materials"
"KAZIA THERAPEUTICS LIMITED","KZA","Pharmaceuticals, Biotechnology & Life Sciences"
"KBL MINING LIMITED","KBL","Materials"
"KELLY PARTNERS GROUP HOLDINGS LIMITED","KPG","Commercial & Professional Services"
"KEY PETROLEUM LIMITED","KEY","Energy"
"KEYBRIDGE CAPITAL LIMITED","KBC","Diversified Financials"
"KEYTONE DAIRY CORPORATION LIMITED","KTD","Class Pend"
"KFW","KFW","Not Applic"
"KGL RESOURCES LIMITED","KGL","Materials"
"KIBARAN RESOURCES LIMITED","KNL","Materials"
"KIDMAN RESOURCES LIMITED","KDR","Materials"
"KIN MINING NL","KIN","Materials"
"KINA PETROLEUM LIMITED","KPL","Energy"
"KINA SECURITIES LIMITED","KSL","Diversified Financials"
"KINETIKO ENERGY LTD","KKO","Energy"
"KING ISLAND SCHEELITE LIMITED","KIS","Materials"
"KING RIVER COPPER LIMITED","KRC","Materials"
"KINGFISHER TRUST 2016-1","KIG","Not Applic"
"KINGSGATE CONSOLIDATED LIMITED.","KCN","Materials"
"KINGSLAND GLOBAL LTD","KLO","Real Estate"
"KINGSROSE MINING LIMITED","KRM","Materials"
"KINGSTON RESOURCES LIMITED","KSN","Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED","KME","Consumer Services"
"KIRKLAND LAKE GOLD LTD","KLA","Materials"
"KNEOMEDIA LIMITED","KNM","Software & Services"
"KNOSYS LIMITED","KNO","Software & Services"
"KOGAN.COM LTD","KGN","Retailing"
"KOGI IRON LIMITED","KFE","Materials"
"KOLLAKORN CORPORATION LIMITED","KKL","Technology Hardware & Equipment"
"KONEKT LIMITED","KKT","Health Care Equipment & Services"
"KOON HOLDINGS LIMITED","KNH","Capital Goods"
"KOPORE METALS LIMITED","KMT","Materials"
"KOPPAR RESOURCES LIMITED","KRX","Class Pend"
"KORAB RESOURCES LIMITED","KOR","Materials"
"KORE POTASH PLC","KP2","Materials"
"KOREA SOUTH-EAST POWER CO LTD","KOP","Not Applic"
"KORVEST LTD","KOV","Capital Goods"
"KRAKATOA RESOURCES LIMITED","KTA","Materials"
"KRESTA HOLDINGS LIMITED","KRS","Consumer Durables & Apparel"
"KULA GOLD LIMITED","KGD","Materials"
"KYCKR LIMITED","KYK","Software & Services"
"L1 LONG SHORT FUND LIMITED","LSF","Not Applic"
"LACHLAN STAR LIMITED","LSA","Materials"
"LAKE RESOURCES N.L.","LKE","Materials"
"LAKES OIL NL","LKO","Energy"
"LAND & HOMES GROUP LIMITED","LHM","Real Estate"
"LANDMARK WHITE LIMITED","LMW","Real Estate"
"LANEWAY RESOURCES LTD","LNY","Materials"
"LANKA GRAPHITE LIMITED","LGR","Materials"
"LANTERN HOTEL GROUP","LTN","Real Estate"
"LARAMIDE RESOURCES LTD","LAM","Energy"
"LASERBOND LIMITED","LBL","Capital Goods"
"LATAM AUTOS LIMITED","LAA","Software & Services"
"LATIN RESOURCES LIMITED","LRS","Materials"
"LATITUDE AUSTRALIA CREDIT CARD LOAN NOTE TRUST","LCN","Not Applic"
"LATITUDE AUSTRALIA PERSONAL LOANS SERIES 2017-1 TRUST","LC1","Not Applic"
"LATITUDE CONSOLIDATED LIMITED","LCD","Materials"
"LATROBE MAGNESIUM LIMITED","LMG","Materials"
"LBT INNOVATIONS LIMITED","LBT","Health Care Equipment & Services"
"LEAF RESOURCES LTD","LER","Materials"
"LEFROY EXPLORATION LIMITED","LEX","Materials"
"LEGACY IRON ORE LIMITED","LCY","Materials"
"LEGEND CORPORATION LIMITED","LGD","Capital Goods"
"LEGEND MINING LIMITED","LEG","Materials"
"LEIGH CREEK ENERGY LIMITED","LCK","Energy"
"LENDLEASE GROUP","LLC","Real Estate"
"LEPIDICO LTD","LPD","Materials"
"LIFEHEALTHCARE GROUP LIMITED","LHC","Health Care Equipment & Services"
"LIFESPOT HEALTH LTD","LSH","Health Care Equipment & Services"
"LIFESTYLE COMMUNITIES LIMITED","LIC","Real Estate"
"LINCOLN MINERALS LIMITED","LML","Materials"
"LINDIAN RESOURCES LIMITED","LIN","Materials"
"LINDSAY AUSTRALIA LIMITED","LAU","Transportation"
"LINIUS TECHNOLOGIES LIMITED","LNU","Software & Services"
"LINK ADMINISTRATION HOLDINGS LIMITED","LNK","Software & Services"
"LION ENERGY LIMITED","LIO","Energy"
"LION ONE METALS LIMITED","LLO","Materials"
"LION SELECTION GROUP LIMITED.","LSX","Diversified Financials"
"LIONHUB GROUP LIMITED","LHB","Real Estate"
"LIONTOWN RESOURCES LIMITED","LTR","Materials"
"LIQUEFIED NATURAL GAS LIMITED","LNG","Energy"
"LITHIUM AUSTRALIA NL","LIT","Materials"
"LITHIUM CONSOLIDATED MINERAL EXPLORATION LIMITED","LI3","Materials"
"LITHIUM POWER INTERNATIONAL LIMITED","LPI","Materials"
"LITIGATION CAPITAL MANAGEMENT LIMITED","LCA","Diversified Financials"
"LIVEHIRE LIMITED","LVH","Software & Services"
"LIVETILES LIMITED","LVT","Software & Services"
"LIVING CELL TECHNOLOGIES LIMITED","LCT","Pharmaceuticals, Biotechnology & Life Sciences"
"LLOYDS BANKING GROUP PLC","LO1","Not Applic"
"LOCALITY PLANNING ENERGY HOLDINGS LIMITED","LPE","Utilities"
"LODESTAR MINERALS LIMITED","LSR","Materials"
"LOGICAMMS LIMITED","LCM","Capital Goods"
"LONDON CITY EQUITIES LIMITED","LCE","Diversified Financials"
"LONGREACH OIL LIMITED","LGO","Energy"
"LONGTABLE GROUP LIMITED","LON","Food, Beverage & Tobacco"
"LOVE GROUP GLOBAL LTD","LVE","Software & Services"
"LOVISA HOLDINGS LIMITED","LOV","Retailing"
"LOWELL RESOURCES FUND","LRT","Not Applic"
"LUCAPA DIAMOND COMPANY LIMITED","LOM","Materials"
"LUSTRUM MINERALS LTD","LRM","Energy"
"LWP TECHNOLOGIES LIMITED","LWP","Energy"
"LYCOPODIUM LIMITED","LYL","Capital Goods"
"LYNAS CORPORATION LIMITED","LYC","Materials"
"MACA LIMITED","MLD","Materials"
"MACH7 TECHNOLOGIES LIMITED","M7T","Health Care Equipment & Services"
"MACMAHON HOLDINGS LIMITED","MAH","Materials"
"MACPHERSONS RESOURCES LIMITED","MRP","Materials"
"MACQUARIE ATLAS ROADS GROUP","MQA","Transportation"
"MACQUARIE BANK LIMITED","MBL","Not Applic"
"MACQUARIE GROUP LIMITED","MQG","Diversified Financials"
"MACQUARIE MEDIA LIMITED","MRN","Media"
"MACQUARIE TELECOM GROUP LIMITED","MAQ","Telecommunication Services"
"MAGELLAN FINANCIAL GROUP LIMITED","MFG","Diversified Financials"
"MAGELLAN GLOBAL TRUST","MGG","Not Applic"
"MAGMATIC RESOURCES LIMITED","MAG","Materials"
"MAGNETIC RESOURCES NL","MAU","Materials"
"MAGNETITE MINES LIMITED.","MGT","Materials"
"MAGNIS RESOURCES LIMITED.","MNS","Materials"
"MAGNUM MINING AND EXPLORATION LIMITED","MGU","Materials"
"MAGONTEC LIMITED","MGL","Materials"
"MAINSTREAM GROUP HOLDINGS LIMITED","MAI","Diversified Financials"
"MAJESTIC HORIZON HOLDINGS LTD","MHH","Class Pend"
"MAKO GOLD LIMITED","MKG","Materials"
"MALACHITE RESOURCES LIMITED","MAR","Materials"
"MANAGED ACCOUNTS HOLDINGS LIMITED","MGP","Diversified Financials"
"MANALTO LIMITED","MTL","Software & Services"
"MANAS RESOURCES LIMITED","MSR","Materials"
"MANDALONG RESOURCES LIMITED","MDD","Materials"
"MANHATTAN CORPORATION LIMITED","MHC","Energy"
"MANTRA GROUP LIMITED","MTR","Consumer Services"
"MARENICA ENERGY LTD","MEY","Energy"
"MARETERRAM LIMITED","MTM","Capital Goods"
"MARINDI METALS LIMITED","MZN","Materials"
"MARINER CORPORATION LIMITED","MCX","Diversified Financials"
"MARMOTA LIMITED","MEU","Energy"
"MARQUEE RESOURCES LIMITED","MQR","Materials"
"MARTIN AIRCRAFT COMPANY LIMITED","MJP","Capital Goods"
"MASTERMYNE GROUP LIMITED","MYE","Materials"
"MATADOR MINING LIMITED","MZZ","Materials"
"MATRIX COMPOSITES & ENGINEERING LIMITED","MCE","Energy"
"MATSA RESOURCES LIMITED","MAT","Materials"
"MAXIMUS RESOURCES LIMITED","MXR","Materials"
"MAXITRANS INDUSTRIES LIMITED","MXI","Capital Goods"
"MAXSEC GROUP LIMITED","MSP","Technology Hardware & Equipment"
"MAYFIELD CHILDCARE LIMITED","MFD","Consumer Services"
"MAYNE PHARMA GROUP LIMITED","MYX","Pharmaceuticals, Biotechnology & Life Sciences"
"MAYUR RESOURCES LIMITED","MRL","Materials"
"MC MINING LIMITED","MCM","Energy"
"MCGRATH LIMITED","MEA","Real Estate"
"MCMILLAN SHAKESPEARE LIMITED","MMS","Commercial & Professional Services"
"MCP MASTER INCOME TRUST","MXT","Not Applic"
"MCPHERSON'S LIMITED","MCP","Consumer Durables & Apparel"
"MCS SERVICES LIMITED","MSG","Commercial & Professional Services"
"MEC RESOURCES LIMITED","MMR","Energy"
"MEDADVISOR LIMITED","MDR","Health Care Equipment & Services"
"MEDALLION TRUST SERIES 2013-2","MBJ","Not Applic"
"MEDALLION TRUST SERIES 2014-1","MDZ","Not Applic"
"MEDALLION TRUST SERIES 2014-1P","MPZ","Not Applic"
"MEDALLION TRUST SERIES 2014-2","MZB","Not Applic"
"MEDALLION TRUST SERIES 2015-1","MZA","Not Applic"
"MEDALLION TRUST SERIES 2015-2","MZC","Not Applic"
"MEDALLION TRUST SERIES 2016-1","MZF","Not Applic"
"MEDALLION TRUST SERIES 2016-2","MZT","Not Applic"
"MEDALLION TRUST SERIES 2017-1","MZ1","Not Applic"
"MEDALLION TRUST SERIES 2017-2","MZ2","Not Applic"
"MEDIBANK PRIVATE LIMITED","MPL","Insurance"
"MEDIBIO LIMITED","MEB","Pharmaceuticals, Biotechnology & Life Sciences"
"MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED","MVP","Pharmaceuticals, Biotechnology & Life Sciences"
"MEDIGARD LIMITED","MGZ","Health Care Equipment & Services"
"MEDLAB CLINICAL LIMITED","MDC","Pharmaceuticals, Biotechnology & Life Sciences"
"MEDUSA MINING LIMITED","MML","Materials"
"MEGAPORT LIMITED","MP1","Software & Services"
"MEJORITY CAPITAL LIMITED","MJC","Diversified Financials"
"MELBANA ENERGY LIMITED","MAY","Energy"
"MELBOURNE IT LIMITED","MLB","Software & Services"
"MEMPHASYS LIMITED.","MEM","Pharmaceuticals, Biotechnology & Life Sciences"
"MERCANTILE INVESTMENT COMPANY LTD","MVT","Diversified Financials"
"MERCHANT HOUSE INTERNATIONAL LIMITED","MHI","Consumer Durables & Apparel"
"MERCURY NZ LIMITED","MCY","Utilities"
"MERIDIAN ENERGY LIMITED","MEZ","Utilities"
"MERLIN DIAMONDS LIMITED","MED","Materials"
"MESA MINERALS LIMITED","MAS","Materials"
"MESOBLAST LIMITED","MSB","Pharmaceuticals, Biotechnology & Life Sciences"
"METAL BANK LIMITED","MBK","Materials"
"METALICITY LIMITED","MCT","Materials"
"METALLICA MINERALS LIMITED","MLM","Materials"
"METALS 479 LTD","ML7","Class Pend"
"METALS AUSTRALIA LTD","MLS","Materials"
"METALS X LIMITED","MLX","Materials"
"METALSEARCH LIMITED","MSE","Materials"
"METALSTECH LIMITED","MTC","Materials"
"METCASH LIMITED","MTS","Food & Staples Retailing"
"METEORIC RESOURCES NL","MEI","Materials"
"METGASCO LTD","MEL","Energy"
"METLIFECARE LIMITED","MEQ","Health Care Equipment & Services"
"METMINCO LIMITED","MNC","Materials"
"METRO MINING LIMITED","MMI","Energy"
"METRO PERFORMANCE GLASS LIMITED","MPP","Materials"
"MFF CAPITAL INVESTMENTS LIMITED","MFF","Diversified Financials"
"MG UNIT TRUST","MGC","Not Applic"
"MGC PHARMACEUTICALS LTD","MXC","Pharmaceuticals, Biotechnology & Life Sciences"
"MGM WIRELESS LIMITED","MWR","Software & Services"
"MICHAEL HILL INTERNATIONAL LIMITED","MHJ","Consumer Durables & Apparel"
"MICRO-X LIMITED","MX1","Health Care Equipment & Services"
"MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","MAM","Diversified Financials"
"MIDDLE ISLAND RESOURCES LIMITED","MDI","Materials"
"MIDWAY LIMITED","MWY","Materials"
"MIGME LIMITED","MIG","Software & Services"
"MILLENNIUM LIMITED","MHD","Consumer Durables & Apparel"
"MILLENNIUM MINERALS LIMITED","MOY","Materials"
"MILLENNIUM SERVICES GROUP LIMITED","MIL","Commercial & Professional Services"
"MILLINIUM'S ALTERNATIVES FUND.","MAX","Not Applic"
"MILTON CORPORATION LIMITED","MLT","Diversified Financials"
"MINBOS RESOURCES LIMITED","MNB","Materials"
"MINCOR RESOURCES NL","MCR","Materials"
"MINDAX LIMITED","MDX","Materials"
"MINERAL COMMODITIES LTD","MRC","Materials"
"MINERAL DEPOSITS LIMITED","MDL","Materials"
"MINERAL RESOURCES LIMITED","MIN","Materials"
"MINOTAUR EXPLORATION LTD","MEP","Materials"
"MINREX RESOURCES LIMITED","MRR","Materials"
"MINT PAYMENTS LIMITED","MNW","Software & Services"
"MIRRABOOKA INVESTMENTS LIMITED","MIR","Diversified Financials"
"MIRVAC GROUP","MGR","Real Estate"
"MISSION NEWENERGY LIMITED","MBT","Energy"
"MITCHELL SERVICES LIMITED","MSV","Capital Goods"
"MITHRIL RESOURCES LIMITED","MTH","Materials"
"MITULA GROUP LIMITED","MUA","Software & Services"
"MMA OFFSHORE LIMITED","MRM","Transportation"
"MMG LIMITED","MMG","Materials"
"MMJ PHYTOTECH LIMITED","MMJ","Pharmaceuticals, Biotechnology & Life Sciences"
"MNC MEDIA INVESTMENT LTD","MIH","Telecommunication Services"
"MNF GROUP LIMITED","MNF","Telecommunication Services"
"MOBECOM LIMITED","MBM","Software & Services"
"MOBILARM LIMITED","MBO","Technology Hardware & Equipment"
"MOBILICOM LIMITED","MOB","Technology Hardware & Equipment"
"MOD RESOURCES LIMITED","MOD","Materials"
"MOELIS AUSTRALIA LIMITED","MOE","Diversified Financials"
"MOKO SOCIAL MEDIA LIMITED","MKB","Software & Services"
"MOLOPO ENERGY LIMITED","MPO","Energy"
"MONADELPHOUS GROUP LIMITED","MND","Capital Goods"
"MONASH ABSOLUTE INVESTMENT COMPANY LIMITED","MA1","Not Applic"
"MONASH IVF GROUP LIMITED","MVF","Pharmaceuticals, Biotechnology & Life Sciences"
"MONAX MINING LIMITED","MOX","Materials"
"MONEY3 CORPORATION LIMITED","MNY","Diversified Financials"
"MORETON RESOURCES LTD","MRV","Energy"
"MORPHIC ETHICAL EQUITIES FUND LIMITED","MEC","Diversified Financials"
"MORTGAGE CHOICE LIMITED","MOC","Banks"
"MOTORCYCLE HOLDINGS LIMITED","MTO","Retailing"
"MOUNT BURGESS MINING NL","MTB","Materials"
"MOUNT GIBSON IRON LIMITED","MGX","Materials"
"MOUNT RIDLEY MINES LIMITED","MRD","Materials"
"MRG METALS LIMITED","MRQ","Materials"
"MSL SOLUTIONS LIMITED","MPW","Software & Services"
"MSM CORPORATION INTERNATIONAL LTD","MSM","Software & Services"
"MULTIPLEX SITES TRUST","MXU","Real Estate"
"MULTISTACK INTERNATIONAL LIMITED","MSI","Capital Goods"
"MURCHISON HOLDINGS LIMITED","MCH","Diversified Financials"
"MURRAY COD AUSTRALIA LIMITED","MCA","Food, Beverage & Tobacco"
"MURRAY RIVER ORGANICS GROUP LIMITED","MRG","Food, Beverage & Tobacco"
"MUSGRAVE MINERALS LIMITED","MGV","Materials"
"MUSTANG RESOURCES LIMITED","MUS","Materials"
"MUSTERA PROPERTY GROUP LIMITED","MPX","Real Estate"
"MYANMAR METALS LIMITED","MYL","Materials"
"MYER HOLDINGS LIMITED","MYR","Retailing"
"MYFIZIQ LIMITED","MYQ","Software & Services"
"MYOB GROUP LIMITED","MYO","Software & Services"
"MYSTATE LIMITED","MYS","Banks"
"MZI RESOURCES LTD","MZI","Materials"
"N1 HOLDINGS LIMITED","N1H","Banks"
"NAGAMBIE RESOURCES LIMITED","NAG","Materials"
"NAMOI COTTON LIMITED","NAM","Commercial & Professional Services"
"NANOLLOSE LIMITED","NC6","Pharmaceuticals, Biotechnology & Life Sciences"
"NANOSONICS LIMITED","NAN","Health Care Equipment & Services"
"NAOS ABSOLUTE OPPORTUNITIES COMPANY LIMITED","NAC","Not Applic"
"NAOS EMERGING OPPORTUNITIES COMPANY LIMITED","NCC","Not Applic"
"NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED","NSC","Diversified Financials"
"NATIONAL AUSTRALIA BANK LIMITED","NAB","Banks"
"NATIONAL RMBS TRUST 2011-1 SERIES 2011-1","NAF","Not Applic"
"NATIONAL RMBS TRUST 2011-2 SERIES 2011-2","NAO","Not Applic"
"NATIONAL RMBS TRUST 2012-2 SERIES 2012-2","NAH","Not Applic"
